year,kabupaten,kab_id,provinsi,prov_id,deforestasi_ha
2002,ACEH SINGKIL,ID-1110,ACEH,ID-11,17.95495119018553
2002,ACEH TAMIANG,ID-1116,ACEH,ID-11,0.0
2002,ACEH TENGAH,ID-1104,ACEH,ID-11,0.0
2002,ACEH TENGGARA,ID-1102,ACEH,ID-11,0.0
2002,ACEH TIMUR,ID-1103,ACEH,ID-11,0.0
2002,ACEH UTARA,ID-1108,ACEH,ID-11,0.0
2002,ADMINISTRASI KEPULAUAN SERIBU,ID-3101,DKI JAKARTA,ID-31,0.0
2002,AGAM,ID-1306,SUMATERA BARAT,ID-13,0.0
2002,ALOR,ID-5305,NUSA TENGGARA TIMUR,ID-53,0.0
2002,ASAHAN,ID-1209,SUMATERA UTARA,ID-12,0.0
2002,ASMAT,ID-9118,PAPUA SELATAN,ID-93,0.0
2002,BADUNG,ID-5103,BALI,ID-51,0.0
2002,BALANGAN,ID-6311,KALIMANTAN SELATAN,ID-63,0.0
2002,BANDUNG,ID-3204,JAWA BARAT,ID-32,0.0
2002,BANDUNG BARAT,ID-3217,JAWA BARAT,ID-32,0.0
2002,BANGGAI,ID-7201,SULAWESI TENGAH,ID-72,8.043746313476568
2002,BANGGAI KEPULAUAN,ID-7207,SULAWESI TENGAH,ID-72,0.0
2002,BANGGAI LAUT,ID-7211,SULAWESI TENGAH,ID-72,0.0
2002,BANGKA,ID-1901,KEPULAUAN BANGKA BELITUNG,ID-19,0.0
2002,BANGKA BARAT,ID-1905,KEPULAUAN BANGKA BELITUNG,ID-19,0.0
2002,BANGKALAN,ID-3526,JAWA TIMUR,ID-35,0.0
2002,BANGKA SELATAN,ID-1903,KEPULAUAN BANGKA BELITUNG,ID-19,0.0
2002,BANGKA TENGAH,ID-1904,KEPULAUAN BANGKA BELITUNG,ID-19,0.0
2002,BANGLI,ID-5106,BALI,ID-51,0.0
2002,BANJAR,ID-6303,KALIMANTAN SELATAN,ID-63,0.0
2002,BANJARNEGARA,ID-3304,JAWA TENGAH,ID-33,0.0
2002,BANTAENG,ID-7303,SULAWESI SELATAN,ID-73,0.0
2002,BANTUL,ID-3402,DAERAH ISTIMEWA YOGYAKARTA,ID-34,0.0
2002,BANYUASIN,ID-1607,SUMATERA SELATAN,ID-16,0.0
2002,BANYUMAS,ID-3302,JAWA TENGAH,ID-33,0.0
